"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"chaos.tree.benchmark.binary.ConstructionBenchmark.rbtFromIterable","avgt",1,5,36.127199,0.630265,"ms/op",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.rbtFromIterable:gc.alloc.rate","avgt",1,5,84.467428,1.476901,"MB/sec",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.rbtFromIterable:gc.alloc.rate.norm","avgt",1,5,3200155.457143,1.369718,"B/op",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.rbtFromIterable:gc.count","avgt",1,5,4.000000,NaN,"counts",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.rbtFromIterable:gc.time","avgt",1,5,7.000000,NaN,"ms",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayClone","avgt",1,5,0.006596,0.000032,"ms/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayClone:gc.alloc.rate","avgt",1,5,4630.729208,22.278333,"MB/sec",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayClone:gc.alloc.rate.norm","avgt",1,5,32032.022878,0.000188,"B/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayClone:gc.count","avgt",1,5,111.000000,NaN,"counts",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayClone:gc.time","avgt",1,5,87.000000,NaN,"ms",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayClone","avgt",1,5,0.094535,0.001117,"ms/op",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayClone:gc.alloc.rate","avgt",1,5,3228.209186,38.198641,"MB/sec",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayClone:gc.alloc.rate.norm","avgt",1,5,320032.327958,0.007472,"B/op",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayClone:gc.count","avgt",1,5,87.000000,NaN,"counts",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayClone:gc.time","avgt",1,5,73.000000,NaN,"ms",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayClone","avgt",1,5,1.363734,0.021853,"ms/op",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayClone:gc.alloc.rate","avgt",1,5,2237.554472,35.592109,"MB/sec",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayClone:gc.alloc.rate.norm","avgt",1,5,3200036.735628,0.130903,"B/op",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayClone:gc.count","avgt",1,5,61.000000,NaN,"counts",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayClone:gc.time","avgt",1,5,60.000000,NaN,"ms",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayFromIterable","avgt",1,5,0.179039,0.004099,"ms/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayFromIterable:gc.alloc.rate","avgt",1,5,170.611397,3.898932,"MB/sec",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayFromIterable:gc.alloc.rate.norm","avgt",1,5,32032.619227,0.016930,"B/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayFromIterable:gc.count","avgt",1,5,8.000000,NaN,"counts",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayFromIterable:gc.time","avgt",1,5,13.000000,NaN,"ms",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayFromIterable","avgt",1,5,3.160025,0.012758,"ms/op",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayFromIterable:gc.alloc.rate","avgt",1,5,96.572818,0.380689,"MB/sec",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayFromIterable:gc.alloc.rate.norm","avgt",1,5,320042.912542,0.036325,"B/op",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayFromIterable:gc.count","avgt",1,5,5.000000,NaN,"counts",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayFromIterable:gc.time","avgt",1,5,5.000000,NaN,"ms",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.splayFromIterable","avgt",1,5,52.186447,1.178300,"ms/op",100000
