benchmark_class,method,param_degree,param_size,score_ns_op,error_ns_op,cpu_atom/L1-dcache-loads/,cpu_atom/L1-dcache-stores/,cpu_atom/L1-icache-load-misses/,cpu_atom/LLC-load-misses/,cpu_atom/LLC-loads/,cpu_atom/LLC-store-misses/,cpu_atom/LLC-stores/,cpu_atom/branch-misses/,cpu_atom/branches/,cpu_atom/cycles/,cpu_atom/dTLB-load-misses/,cpu_atom/dTLB-loads/,cpu_atom/dTLB-store-misses/,cpu_atom/dTLB-stores/,cpu_atom/iTLB-load-misses/,cpu_atom/instructions/,cpu_core/L1-dcache-loads/,cpu_core/L1-dcache-stores/,cpu_core/L1-icache-load-misses/,cpu_core/LLC-load-misses/,cpu_core/LLC-loads/,cpu_core/LLC-store-misses/,cpu_core/LLC-stores/,cpu_core/branch-misses/,cpu_core/branches/,cpu_core/cycles/,cpu_core/dTLB-load-misses/,cpu_core/dTLB-loads/,cpu_core/dTLB-store-misses/,cpu_core/dTLB-stores/,cpu_core/iTLB-load-misses/,cpu_core/instructions/
ConcurrentBenchmark,bPlusTreeConcurrentInsert,4,1000,17692.604,11395.705,2733.405,1079.352,68.154,0.002,10.147,0.001,1.999,14.275,2307.522,5115.474,1.711,1819.388,0.070,919.322,21.919,9319.617,6595.580,2561.364,78.667,0.100,13.486,0.007,7.924,15.862,7154.950,10671.342,0.267,6618.070,0.070,2569.340,0.437,24260.960
ConcurrentBenchmark,bPlusTreeConcurrentInsert,4,50000,13406.402,4791.974,1759.807,752.017,102.133,0.003,13.817,0.013,3.294,17.273,2024.633,5110.328,3.450,1247.159,0.089,704.887,13.006,7195.449,6531.772,2443.164,70.061,0.560,18.923,0.012,6.844,19.623,7515.329,10606.027,0.716,6554.216,0.054,2448.782,0.366,24649.486
ConcurrentBenchmark,bPlusTreeConcurrentInsert,4,1000000,19224.233,5518.686,2451.041,1002.383,102.072,0.005,23.948,10⁻³,2.206,25.590,2333.647,6095.985,4.592,1719.678,0.093,775.570,15.803,8397.465,7800.779,2911.532,99.834,10.652,37.988,0.021,8.066,22.472,9869.087,13990.086,9.283,7955.652,0.082,2939.758,0.745,30691.434
ConcurrentBenchmark,bPlusTreeConcurrentInsert,4,5000000,21951.314,5064.506,5933.012,2192.248,65.727,0.031,39.112,0.124,6.218,26.876,5134.184,13706.748,15.378,4898.520,0.273,2029.123,43.977,20412.778,12040.048,4099.669,149.125,19.479,46.512,0.115,7.862,25.112,12618.169,18662.025,14.022,12251.325,0.103,4115.807,1.240,44517.959
ConcurrentBenchmark,bPlusTreeConcurrentInsert,32,1000,11974.131,1888.784,2632.278,1108.538,25.907,10⁻³,7.144,1.309,2.772,10.585,2446.780,5455.987,3.465,1769.039,0.140,878.366,18.407,8853.132,5714.525,2192.991,59.669,0.070,12.131,0.002,6.827,15.031,5998.832,9397.492,0.240,5743.787,0.055,2196.018,0.279,20725.380
ConcurrentBenchmark,bPlusTreeConcurrentInsert,32,50000,17846.235,16467.697,2219.800,902.790,83.965,0.003,12.961,0.331,3.662,18.866,1954.490,4482.345,2.758,1892.457,0.132,804.858,15.108,7617.555,6077.047,2301.456,80.208,0.199,15.303,0.007,6.684,18.149,6704.319,9883.842,0.455,6153.775,0.043,2313.040,0.469,22570.768
ConcurrentBenchmark,bPlusTreeConcurrentInsert,32,1000000,16384.192,1204.870,3785.649,1497.898,56.576,0.009,23.914,10⁻⁴,3.246,20.693,3698.326,8491.523,4.097,2829.476,0.079,1319.593,31.667,13944.403,8005.608,3019.046,123.581,7.656,34.501,0.003,7.996,23.341,10135.588,13237.621,5.081,8033.046,0.077,3014.082,0.822,31532.938
ConcurrentBenchmark,bPlusTreeConcurrentInsert,32,5000000,19182.031,2930.841,6208.866,2268.103,50.545,0.049,34.711,0.058,7.646,25.659,5746.151,12633.153,9.666,5140.614,0.235,1992.511,40.544,21180.015,11589.803,4069.353,135.489,17.846,47.596,0.078,8.640,28.263,12747.937,18191.315,10.925,11674.916,0.099,4086.826,0.989,43373.517
ConcurrentBenchmark,bPlusTreeConcurrentInsert,128,1000,10644.457,1427.468,1895.210,802.899,88.380,0.002,10.680,0.353,3.061,20.016,1640.439,4944.624,3.497,1031.959,0.164,578.928,13.628,6491.163,5717.362,2191.669,51.991,0.078,12.095,0.012,7.003,14.976,5982.957,9457.700,0.151,5713.821,0.045,2192.426,0.233,20709.850
ConcurrentBenchmark,bPlusTreeConcurrentInsert,128,50000,15272.716,5181.869,3123.741,1268.598,59.052,0.003,13.131,0.602,2.241,17.869,2774.645,6714.510,3.159,2570.999,0.103,1165.596,33.226,10418.258,6957.470,2685.962,120.417,0.259,18.248,0.008,7.245,19.126,7962.741,11002.473,0.552,7037.376,0.061,2703.627,0.529,26307.224
ConcurrentBenchmark,bPlusTreeConcurrentInsert,128,1000000,19856.954,12263.030,2243.201,915.477,50.382,0.010,15.597,10⁻⁵,1.870,21.104,2043.698,6413.374,2.632,1476.691,0.109,737.863,18.805,7940.722,7027.392,2624.912,108.872,7.802,31.425,0.062,7.381,21.563,8701.335,12041.135,3.435,7034.297,0.070,2614.574,0.469,27432.560
ConcurrentBenchmark,bPlusTreeConcurrentInsert,128,5000000,18530.965,1380.410,4697.019,1781.390,104.572,0.042,32.740,0.005,4.636,23.914,4046.901,10618.856,8.914,3884.725,0.342,1742.623,45.992,16103.927,9834.445,3561.347,227.897,15.941,42.177,0.135,6.454,23.930,8557.513,14998.544,8.416,9868.842,0.082,3582.615,1.678,34013.621
ConcurrentBenchmark,bPlusTreeConcurrentMixed,4,1000,8091.364,856.767,2717.334,1121.758,72.005,10⁻⁵,9.586,0.013,5.430,13.371,2730.279,7128.348,2.084,2712.683,0.086,1116.200,31.887,9820.140,4307.274,1698.673,140.781,0.050,12.260,0.033,6.762,14.208,5183.437,8881.341,0.264,4412.435,0.038,1707.598,1.709,16724.172
ConcurrentBenchmark,bPlusTreeConcurrentMixed,4,50000,9673.187,1662.578,3166.777,1284.177,79.610,0.001,19.413,0.005,6.274,18.143,3162.439,8492.955,3.755,3125.402,0.063,1251.063,39.917,11510.971,4758.019,1812.349,157.583,0.774,22.722,0.028,7.735,18.909,6341.217,10532.570,2.820,4878.642,0.055,1823.463,2.144,19356.755
ConcurrentBenchmark,bPlusTreeConcurrentMixed,4,1000000,15501.273,8538.125,3520.640,1324.046,33.912,0.007,31.691,0.004,5.583,21.162,4066.032,9531.210,9.228,3314.597,0.101,1264.812,25.203,13171.579,5489.265,2016.614,110.967,12.036,39.319,0.017,7.222,22.284,7601.776,12051.553,12.681,5531.766,0.084,2007.157,1.392,22608.036
ConcurrentBenchmark,bPlusTreeConcurrentMixed,4,5000000,15369.147,2533.810,4255.408,1444.921,25.383,0.012,32.241,0.301,4.600,26.299,5228.669,11262.827,12.007,3980.576,0.113,1431.810,15.882,17324.299,8072.412,2662.314,69.406,21.073,50.043,0.163,6.094,31.478,10311.508,15272.454,18.200,8023.327,0.141,2654.299,0.619,32442.507
ConcurrentBenchmark,bPlusTreeConcurrentMixed,32,1000,9664.673,5776.121,2085.807,802.828,37.209,10⁻⁴,8.403,0.014,3.703,9.927,2690.138,5536.925,1.738,2023.696,0.114,817.395,17.037,8453.173,3885.659,1478.710,92.869,0.031,8.720,0.005,5.128,11.666,4791.164,6790.243,0.184,3967.865,0.036,1486.172,1.610,15209.329
ConcurrentBenchmark,bPlusTreeConcurrentMixed,32,50000,8662.476,1836.929,2752.626,1132.287,71.685,10⁻⁴,13.961,0.031,4.965,15.608,2711.912,7243.230,3.305,2684.037,0.140,1088.327,35.514,9940.306,4205.487,1629.401,144.223,0.172,17.343,0.010,6.831,17.783,5204.809,9054.775,1.042,4296.581,0.043,1631.733,1.819,16621.188
ConcurrentBenchmark,bPlusTreeConcurrentMixed,32,1000000,10957.741,1491.917,2100.550,931.610,129.477,0.003,18.843,0.019,6.674,14.246,2461.047,7042.641,3.118,2170.676,0.066,929.262,26.325,8784.232,4754.365,1800.838,161.844,8.169,36.719,0.014,8.041,22.635,6095.217,11066.357,7.570,4821.399,0.071,1806.369,1.497,19094.499
ConcurrentBenchmark,bPlusTreeConcurrentMixed,32,5000000,12998.978,2580.608,2570.976,1038.229,114.399,0.006,18.601,0.233,5.140,16.443,2644.787,7204.971,4.568,2592.026,0.099,1044.952,19.968,9969.813,5856.664,2038.601,104.243,18.732,50.288,0.064,7.135,27.078,7103.944,12504.591,16.704,5851.546,0.083,2030.856,1.188,22987.036
ConcurrentBenchmark,bPlusTreeConcurrentMixed,128,1000,7308.995,538.528,2746.551,1133.207,72.360,10⁻⁴,10.014,0.008,6.572,14.178,2713.160,7161.409,1.937,2652.293,0.097,1109.845,35.614,9867.429,3988.029,1557.262,135.418,0.063,12.865,0.008,7.243,14.531,4905.915,8940.347,0.223,4069.455,0.042,1561.100,1.703,15676.771
ConcurrentBenchmark,bPlusTreeConcurrentMixed,128,50000,8029.281,1044.544,2721.729,1101.576,71.406,0.002,17.140,0.067,6.426,17.651,2739.859,7448.159,3.990,2510.625,0.091,1065.734,31.972,10017.370,4046.301,1569.996,142.928,0.113,19.848,0.006,7.521,17.691,4977.410,9202.968,0.875,4132.423,0.043,1579.524,1.679,15994.770
ConcurrentBenchmark,bPlusTreeConcurrentMixed,128,1000000,12862.464,4264.377,3535.426,1364.862,57.147,0.020,27.323,0.046,6.661,21.992,4260.454,9713.643,5.268,3376.944,0.060,1322.895,31.165,13818.206,5408.276,2040.405,146.180,9.398,35.105,0.018,8.021,22.671,7505.041,11493.384,6.370,5475.549,0.068,2043.741,2.124,22460.121
ConcurrentBenchmark,bPlusTreeConcurrentMixed,128,5000000,13133.526,3104.210,3539.726,1266.139,30.733,0.025,36.617,0.001,5.615,23.808,4539.030,10321.777,12.656,3475.614,0.064,1282.042,21.091,14242.676,5747.482,2022.558,110.229,19.870,52.215,0.063,7.161,26.093,7369.181,12293.768,16.536,5812.983,0.087,2031.072,1.577,23150.712
ConcurrentBenchmark,bPlusTreeConcurrentSearch,4,1000,1294.297,92.484,453.689,157.444,4.003,10⁻⁴,2.934,0.010,0.918,3.000,821.954,1588.105,0.085,443.544,0.004,156.234,0.539,2160.670,600.185,205.243,5.147,0.005,2.460,0.004,1.411,5.345,958.729,1851.112,0.028,607.120,0.004,205.850,0.090,2711.728
ConcurrentBenchmark,bPlusTreeConcurrentSearch,4,50000,2629.343,376.560,474.967,189.134,12.474,10⁻⁴,3.946,10⁻⁵,1.085,2.380,835.589,1630.296,0.355,455.453,0.008,184.265,2.166,2261.267,610.992,225.949,15.762,0.065,7.772,0.006,1.405,10.610,804.579,2060.439,0.420,628.762,0.008,227.241,0.289,2627.639
ConcurrentBenchmark,bPlusTreeConcurrentSearch,4,1000000,7519.917,2235.128,549.082,262.103,35.442,0.001,9.919,10⁻⁴,1.863,6.707,694.938,2317.637,2.411,523.098,0.016,258.870,4.810,2396.187,759.124,301.636,37.405,9.234,27.577,0.003,1.732,13.166,905.230,3941.231,9.903,793.332,0.035,306.501,0.625,3218.818
ConcurrentBenchmark,bPlusTreeConcurrentSearch,4,5000000,10701.587,1909.301,782.566,392.532,53.959,0.005,15.834,0.005,2.884,8.790,838.513,3507.112,3.934,738.201,0.021,367.973,8.403,3345.545,1818.152,616.942,53.830,17.576,37.685,0.191,2.324,14.978,1600.461,6157.793,14.494,1919.097,0.140,627.582,0.627,6719.464
ConcurrentBenchmark,bPlusTreeConcurrentSearch,32,1000,1360.855,211.888,285.087,99.257,3.769,10⁻⁵,2.624,0.007,0.687,2.674,516.206,1260.466,0.078,278.264,0.003,96.646,0.340,1387.603,404.621,137.332,3.616,0.003,2.240,10⁻⁴,1.254,4.996,672.639,1537.839,0.016,408.031,0.003,137.358,0.052,1901.009
ConcurrentBenchmark,bPlusTreeConcurrentSearch,32,50000,1769.238,97.587,476.501,169.325,6.979,10⁻⁴,4.888,0.002,1.285,5.228,841.922,1956.498,0.246,476.643,0.005,168.353,1.244,2288.089,706.214,238.511,10.531,0.013,4.999,0.002,1.862,9.294,1186.872,2323.185,0.078,718.961,0.005,239.015,0.204,3339.546
ConcurrentBenchmark,bPlusTreeConcurrentSearch,32,1000000,5082.434,3252.711,508.886,197.456,15.272,0.005,16.388,0.004,1.386,11.027,707.582,2604.344,2.847,502.502,0.010,196.517,3.150,2319.746,751.777,275.203,27.395,4.038,20.905,0.001,1.940,12.917,1159.636,3116.656,3.964,782.609,0.021,278.519,0.503,3505.552
ConcurrentBenchmark,bPlusTreeConcurrentSearch,32,5000000,7891.423,2088.581,563.580,246.474,26.138,0.018,27.788,0.002,1.657,13.805,625.019,3533.699,7.064,571.051,0.023,238.560,4.260,2461.372,1262.736,448.208,47.654,15.341,34.668,0.032,2.054,14.457,1163.565,4586.361,10.437,1311.322,0.033,447.619,0.809,4762.131
ConcurrentBenchmark,bPlusTreeConcurrentSearch,128,1000,1287.098,267.424,299.560,103.627,3.456,10⁻⁵,2.244,10⁻⁴,1.163,4.838,460.261,1362.495,0.063,301.668,0.003,103.328,0.483,1372.455,417.459,142.335,4.039,0.011,2.386,0.002,1.278,4.775,703.597,1632.128,0.019,422.048,0.004,143.127,0.063,1970.194
ConcurrentBenchmark,bPlusTreeConcurrentSearch,128,50000,1684.607,48.237,356.025,124.016,7.538,10⁻⁴,5.720,0.004,2.173,9.010,459.134,1805.909,0.270,366.409,0.005,127.216,1.249,1565.373,461.817,162.597,12.857,0.014,6.092,0.001,2.060,8.457,663.238,2134.362,0.083,470.796,0.005,162.933,0.199,2082.161
