"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:208      cpu_core/branch-misses/          #      0.0 %  branch_miss_rate         (10.80%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:402      cpu_core/LLC-loads/              #     35.5 %  llc_miss_rate            (7.21%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:834      cpu_core/L1-dcache-load-misses/  #      nan %  l1d_miss_rate            (17.26%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/L1-dcache-loads/","sample",1,1,288.709929,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/L1-dcache-stores/","sample",1,1,64.319024,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/L1-icache-load-misses/","sample",1,1,0.040446,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/LLC-load-misses/","sample",1,1,0.001166,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/LLC-loads/","sample",1,1,0.019594,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/LLC-store-misses/","sample",1,1,0.001655,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/LLC-stores/","sample",1,1,0.003764,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/branch-misses/","sample",1,1,0.023648,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/branches/","sample",1,1,200.166233,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/cycles/","sample",1,1,187.329466,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/dTLB-load-misses/","sample",1,1,0.000574,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/dTLB-loads/","sample",1,1,284.352141,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/dTLB-store-misses/","sample",1,1,0.000569,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/dTLB-stores/","sample",1,1,64.133021,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/iTLB-load-misses/","sample",1,1,0.000326,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/instructions/","sample",1,1,881.514753,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:gc.alloc.rate","sample",1,5,1405.591398,26.695120,"MB/sec",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:gc.alloc.rate.norm","sample",1,5,72.004359,0.001455,"B/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:gc.count","sample",1,5,5.000000,NaN,"counts",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:gc.time","sample",1,5,9.000000,NaN,"ms",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:p0.00","sample",1,1,58.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:p0.50","sample",1,1,63.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:p0.90","sample",1,1,86.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:p0.95","sample",1,1,90.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:p0.99","sample",1,1,96.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:p0.999","sample",1,1,782.656000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:p0.9999","sample",1,1,13069.849600,NaN,"ns/op",10000
