"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/dTLB-loads/","sample",1,1,196.552055,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/dTLB-store-misses/","sample",1,1,0.000284,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/dTLB-stores/","sample",1,1,36.917494,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/iTLB-load-misses/","sample",1,1,0.000252,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/instructions/","sample",1,1,634.027737,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:gc.alloc.rate","sample",1,5,1619.148309,15.790944,"MB/sec",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:gc.alloc.rate.norm","sample",1,5,56.002724,0.002108,"B/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:gc.count","sample",1,5,6.000000,NaN,"counts",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:gc.time","sample",1,5,12.000000,NaN,"ms",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:p0.00","sample",1,1,47.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:p0.50","sample",1,1,53.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:p0.90","sample",1,1,55.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:p0.95","sample",1,1,56.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:p0.99","sample",1,1,66.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:p0.999","sample",1,1,343.924000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:p0.9999","sample",1,1,12553.356800,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:p1.00","sample",1,1,37568.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:perf","sample",1,1,NaN,NaN,"---",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete","sample",1,339059,100.107674,1.331604,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:378      cpu_atom/dTLB-loads/             #      0.1 %  dtlb_miss_rate           (0.16%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/L1-dcache-loads/","sample",1,1,345.465512,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/L1-dcache-stores/","sample",1,1,106.046114,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/L1-icache-load-misses/","sample",1,1,0.068678,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/LLC-load-misses/","sample",1,1,0.001747,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/LLC-loads/","sample",1,1,0.018411,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/LLC-store-misses/","sample",1,1,0.000994,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/LLC-stores/","sample",1,1,0.006558,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/branch-misses/","sample",1,1,0.401167,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/branches/","sample",1,1,262.338882,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/cycles/","sample",1,1,221.043728,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/dTLB-load-misses/","sample",1,1,0.000611,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/dTLB-loads/","sample",1,1,344.927210,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/dTLB-store-misses/","sample",1,1,0.000483,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/dTLB-stores/","sample",1,1,105.970070,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/iTLB-load-misses/","sample",1,1,0.019941,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:cpu_core/instructions/","sample",1,1,1157.323591,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:gc.alloc.rate","sample",1,5,1189.878467,25.172659,"MB/sec",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:gc.alloc.rate.norm","sample",1,5,72.004994,0.002721,"B/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:gc.count","sample",1,5,5.000000,NaN,"counts",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:gc.time","sample",1,5,9.000000,NaN,"ms",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:p0.00","sample",1,1,72.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:p0.50","sample",1,1,100.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:p0.90","sample",1,1,104.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:p0.95","sample",1,1,105.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:p0.99","sample",1,1,115.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:p0.999","sample",1,1,523.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:p0.9999","sample",1,1,12387.008000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:p1.00","sample",1,1,26336.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete:perf","sample",1,1,NaN,NaN,"---",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete","sample",1,218419,124.551550,2.183405,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:343      cpu_core/branch-misses/          #      0.0 %  branch_miss_rate         (10.71%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:559      cpu_core/L1-dcache-load-misses/  #      nan %  l1d_miss_rate            (24.13%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/L1-dcache-loads/","sample",1,1,498.627755,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/L1-dcache-stores/","sample",1,1,129.042854,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/L1-icache-load-misses/","sample",1,1,0.088192,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/LLC-load-misses/","sample",1,1,0.001301,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/LLC-loads/","sample",1,1,0.022881,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/LLC-store-misses/","sample",1,1,0.001956,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/LLC-stores/","sample",1,1,0.003646,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/branch-misses/","sample",1,1,0.050959,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.rbtInsertDelete:cpu_core/branches/","sample",1,1,516.870352,NaN,"#/op",10000
